X,Y,Z,Distance
-0.097,1.060,1.010,3.350
-0.100,1.059,1.014,3.351
-0.610,-0.651,0.381,0.554
-0.614,-0.653,0.377,0.551
-0.617,-0.672,0.383,0.545
-0.604,-0.647,0.380,0.544
-0.608,-0.639,0.379,0.542
-0.608,-0.634,0.378,0.542
-0.610,-0.636,0.380,0.537
-0.612,-0.641,0.382,0.535
-0.613,-0.638,0.380,0.535
-0.620,-0.640,0.384,0.544
-0.622,-0.639,0.385,0.540
0.255,1.456,0.792,1.408
-0.642,-0.684,0.392,0.537
-0.432,0.132,0.496,0.621
-0.431,0.131,0.497,0.620
-0.431,0.130,0.497,0.622
-0.430,0.132,0.497,0.621
-0.432,0.130,0.496,0.622
-0.430,0.132,0.497,0.623
-0.432,0.131,0.499,0.625
-0.432,0.131,0.499,0.624
-0.433,0.130,0.499,0.623
-0.432,0.133,0.499,0.624
-0.433,0.132,0.499,0.623
-0.435,0.133,0.498,0.620
-0.434,0.134,0.496,0.622
-0.433,0.139,0.497,0.620
-0.435,0.137,0.498,0.621
-0.435,0.137,0.498,0.619
-0.434,0.138,0.498,0.620
-0.436,0.137,0.499,0.621
-0.434,0.136,0.500,0.622
-0.433,0.136,0.500,0.621
-0.433,0.135,0.501,0.623
-0.434,0.136,0.500,0.623
-0.433,0.134,0.500,0.624
-0.433,0.134,0.499,0.625
-0.432,0.137,0.499,0.627
-0.432,0.138,0.499,0.624
-0.434,0.136,0.497,0.624
-0.434,0.138,0.497,0.621
-0.436,0.136,0.497,0.620
-0.437,0.139,0.496,0.619
-0.437,0.140,0.496,0.622
-0.436,0.141,0.496,0.623
-0.437,0.140,0.496,0.622
-0.436,0.141,0.494,0.623
-0.436,0.140,0.494,0.620
-0.435,0.142,0.495,0.621
-0.433,0.142,0.496,0.623
-0.432,0.138,0.495,0.618
-0.434,0.139,0.495,0.622
-0.431,0.138,0.496,0.622
-0.432,0.134,0.495,0.624
-0.433,0.137,0.495,0.622
-0.432,0.139,0.496,0.626
-0.429,0.140,0.494,0.624
-0.431,0.139,0.493,0.626
-0.430,0.143,0.493,0.629
-0.431,0.141,0.492,0.625
-0.431,0.138,0.493,0.626
-0.430,0.141,0.493,0.629
-0.433,0.136,0.491,0.622
-0.431,0.140,0.491,0.623
-0.430,0.141,0.491,0.625
-0.429,0.138,0.490,0.622
-0.428,0.137,0.490,0.627
-0.426,0.140,0.488,0.625
-0.427,0.137,0.489,0.629
-0.424,0.135,0.490,0.629
-0.424,0.133,0.488,0.631
-0.424,0.131,0.489,0.631
-0.424,0.132,0.489,0.631
-0.420,0.134,0.489,0.634
-0.420,0.132,0.486,0.634
-0.423,0.135,0.485,0.632
-0.424,0.133,0.486,0.627
-0.423,0.134,0.486,0.626
-0.421,0.130,0.486,0.626
-0.421,0.135,0.485,0.628
-0.422,0.135,0.482,0.625
-0.421,0.134,0.483,0.626
-0.419,0.139,0.481,0.631
-0.419,0.136,0.479,0.633
-0.420,0.138,0.483,0.629
-0.419,0.137,0.485,0.631
-0.420,0.137,0.485,0.626
-0.421,0.137,0.483,0.625
-0.421,0.140,0.483,0.628
-0.422,0.141,0.483,0.626
-0.423,0.139,0.482,0.625
-0.424,0.142,0.481,0.627
-0.422,0.146,0.480,0.627
-0.422,0.143,0.482,0.626
-0.420,0.142,0.483,0.629
-0.419,0.138,0.484,0.629
-0.414,0.138,0.488,0.632
-0.416,0.132,0.489,0.637
