X,Y,Z,Distance
-0.526,-0.606,0.276,0.474
-0.526,-0.604,0.274,0.474
-0.526,-0.607,0.276,0.470
-0.526,-0.608,0.276,0.471
-0.526,-0.605,0.275,0.475
-0.525,-0.607,0.278,0.474
-0.523,-0.611,0.278,0.472
-0.523,-0.608,0.276,0.476
-0.523,-0.611,0.281,0.476
-0.521,-0.614,0.279,0.479
-0.524,-0.612,0.278,0.476
-0.522,-0.613,0.279,0.477
-0.523,-0.611,0.276,0.479
-0.523,-0.613,0.278,0.478
-0.523,-0.614,0.279,0.478
-0.522,-0.615,0.281,0.478
-0.523,-0.614,0.279,0.475
-0.522,-0.616,0.280,0.479
-0.523,-0.615,0.280,0.477
-0.523,-0.613,0.278,0.476
-0.521,-0.616,0.279,0.479
-0.522,-0.613,0.280,0.478
-0.524,-0.613,0.279,0.475
-0.523,-0.612,0.277,0.476
-0.524,-0.611,0.279,0.476
-0.524,-0.609,0.278,0.473
-0.522,-0.608,0.276,0.476
-0.526,-0.609,0.277,0.473
-0.524,-0.609,0.279,0.476
-0.522,-0.610,0.277,0.476
-0.525,-0.609,0.276,0.473
-0.525,-0.611,0.280,0.474
-0.524,-0.613,0.279,0.475
-0.524,-0.613,0.279,0.475
-0.526,-0.612,0.280,0.472
-0.524,-0.612,0.279,0.474
-0.523,-0.612,0.280,0.476
-0.525,-0.612,0.279,0.473
-0.525,-0.609,0.276,0.476
-0.525,-0.609,0.276,0.476
-0.525,-0.607,0.277,0.472
-0.525,-0.609,0.276,0.476
-0.526,-0.608,0.276,0.474
-0.527,-0.608,0.276,0.472
-0.526,-0.610,0.278,0.472
-0.525,-0.606,0.275,0.476
-0.526,-0.607,0.277,0.473
-0.527,-0.609,0.277,0.471
-0.528,-0.606,0.275,0.474
-0.528,-0.604,0.274,0.472
-0.526,-0.602,0.275,0.470
-0.529,-0.603,0.273,0.469
-0.531,-0.600,0.272,0.466
-0.528,-0.599,0.273,0.468
-0.529,-0.600,0.273,0.469
-0.530,-0.604,0.276,0.465
-0.528,-0.600,0.273,0.465
-0.528,-0.600,0.272,0.472
-0.530,-0.605,0.277,0.466
-0.530,-0.604,0.276,0.465
-0.527,-0.603,0.275,0.470
-0.527,-0.605,0.276,0.472
-0.528,-0.607,0.280,0.467
-0.527,-0.609,0.280,0.468
-0.525,-0.609,0.279,0.470
-0.526,-0.611,0.282,0.469
-0.525,-0.612,0.282,0.469
-0.527,-0.613,0.282,0.467
-0.527,-0.610,0.281,0.469
-0.526,-0.612,0.282,0.470
-0.528,-0.611,0.280,0.467
-0.528,-0.607,0.280,0.467
-0.528,-0.607,0.280,0.467
-0.529,-0.605,0.278,0.466
-0.530,-0.607,0.278,0.465
-0.528,-0.608,0.281,0.466
-0.529,-0.604,0.278,0.464
-0.529,-0.603,0.277,0.463
-0.529,-0.604,0.278,0.462
-0.529,-0.604,0.278,0.462
-0.529,-0.604,0.278,0.462
-0.529,-0.606,0.278,0.461
-0.529,-0.607,0.282,0.459
-0.526,-0.608,0.281,0.466
-0.526,-0.609,0.278,0.467
-0.528,-0.609,0.282,0.465
-0.527,-0.611,0.283,0.466
-0.527,-0.611,0.281,0.472
-0.526,-0.611,0.282,0.468
-0.527,-0.613,0.283,0.466
-0.527,-0.613,0.282,0.467
-0.527,-0.613,0.282,0.467
-0.529,-0.614,0.283,0.464
-0.528,-0.609,0.282,0.465
-0.529,-0.608,0.280,0.465
-0.530,-0.607,0.281,0.462
-0.530,-0.607,0.280,0.463
-0.530,-0.608,0.278,0.465
-0.531,-0.605,0.278,0.460
-0.530,-0.606,0.279,0.461
-0.531,-0.605,0.281,0.459
-0.529,-0.606,0.280,0.462
-0.530,-0.607,0.279,0.464
-0.528,-0.609,0.283,0.461
-0.529,-0.610,0.283,0.460
-0.528,-0.608,0.281,0.463
-0.529,-0.610,0.282,0.463
-0.530,-0.611,0.284,0.460
-0.529,-0.611,0.283,0.463
-0.528,-0.608,0.281,0.465
-0.531,-0.610,0.283,0.460
-0.531,-0.608,0.279,0.461
-0.532,-0.609,0.281,0.458
-0.529,-0.607,0.281,0.464
-0.528,-0.607,0.282,0.465
-0.526,-0.608,0.278,0.475
-0.529,-0.608,0.280,0.472
-0.529,-0.603,0.279,0.474
-0.526,-0.605,0.275,0.474
-0.529,-0.609,0.276,0.472
-0.525,-0.606,0.277,0.468
-0.521,-0.603,0.271,0.469
-0.520,-0.603,0.272,0.467
-0.516,-0.604,0.268,0.465
-0.510,-0.599,0.262,0.467
-0.509,-0.600,0.261,0.463
-0.506,-0.599,0.261,0.459
-0.505,-0.596,0.258,0.460
-0.505,-0.594,0.258,0.459
-0.502,-0.596,0.259,0.458
-0.501,-0.597,0.256,0.460
-0.503,-0.596,0.257,0.461
-0.506,-0.599,0.257,0.459
-0.502,-0.594,0.259,0.461
-0.503,-0.598,0.259,0.460
-0.503,-0.599,0.257,0.461
-0.504,-0.595,0.259,0.457
-0.502,-0.595,0.259,0.458
-0.502,-0.594,0.257,0.459
-0.501,-0.600,0.259,0.462
-0.503,-0.595,0.255,0.460
-0.504,-0.594,0.258,0.458
-0.502,-0.593,0.259,0.461
-0.504,-0.596,0.257,0.459
-0.505,-0.592,0.255,0.456
-0.504,-0.588,0.252,0.456
-0.504,-0.586,0.251,0.457
-0.502,-0.583,0.249,0.455
-0.500,-0.588,0.248,0.456
-0.499,-0.586,0.248,0.456
-0.497,-0.581,0.248,0.451
-0.498,-0.584,0.246,0.451
-0.494,-0.588,0.243,0.456
-0.492,-0.588,0.244,0.456
-0.491,-0.584,0.244,0.454
-0.490,-0.585,0.244,0.456
-0.487,-0.590,0.244,0.455
-0.485,-0.591,0.246,0.451
-0.484,-0.588,0.245,0.454
-0.484,-0.589,0.246,0.453
-0.482,-0.589,0.244,0.454
-0.480,-0.593,0.244,0.451
-0.480,-0.592,0.245,0.450
-0.478,-0.588,0.245,0.448
-0.478,-0.590,0.242,0.450
-0.479,-0.589,0.241,0.449
-0.475,-0.591,0.242,0.446
